(2, 2, 22, 2, 2050);ת;ו;ה;ש;מ;ל;ו;ת;ב;ה;ר;פ;צ;ת;א;ן;ת;י;ו;ש;י;א;ה;ת;א;ת;ב;ש;ל;ה;ש;מ;ל;א;ו;י;ו;ם;ח;ל;ל;כ;א;י;ו;ו;ל;ן;א;ר;(2, 2, 20, 34, 2001)
(2, 2, 23, 11, 2100);ר;ה;ם;י;מ;י;ב;י;ה;י;ו;ה;י;ר;כ;נ;ץ;ר;א;ב;י;ת;י;י;ה;ר;ג;ר;מ;א;י;כ;ם;ש;ר;ג;ו;מ;ש;ת;א;א;ר;ק;י;ו;ן;ב;ד;ל;(2, 2, 22, 3, 2051)
(2, 2, 23, 61, 2150);ש;ל;ע;ת;ו;ו;ק;ע;ז;י;ו;ה;ד;ב;ע;ה;ן;מ;ל;א;ר;ש;י;י;נ;ב;ו;ח;נ;א;י;ו;ם;י;ר;צ;מ;ך;ל;מ;ת;מ;י;ו;ם;ה;ה;ם;י;ב;(2, 2, 23, 12, 2101)
(2, 2, 24, 31, 2200);ר;ב;ת;א;ם;י;ה;ל;א;ר;כ;ז;י;ו;ם;ת;ק;א;נ;ת;א;ם;י;ה;ל;א;ע;מ;ש;י;ו;ה;ד;ב;ע;ה;ן;מ;ם;י;ה;ל;א;ה;ל;א;ם;ת;ע;ו;(2, 2, 23, 62, 2151)
(2, 2, 25, 27, 2250);י;ה;ל;א;ע;ד;י;ו;ל;א;ר;ש;י;י;נ;ב;ת;א;ם;י;ה;ל;א;א;ר;י;ו;ב;ק;ע;י;ת;א;ו;ק;ח;צ;י;ת;א;ם;ה;ר;ב;א;ת;א;ו;ת;י;(2, 2, 24, 32, 2201)
(2, 3, 1, 49, 2300);ר;ב;ד;מ;ה;ר;ח;א;ן;א;צ;ה;ת;א;ג;ה;נ;י;ו;ן;י;ד;מ;ן;ה;כ;ו;נ;ת;ח;ו;ר;ת;י;ן;א;צ;ת;א;ה;ע;ר;ה;י;ה;ה;ש;מ;ו;ם;(2, 2, 25, 28, 2251)
(2, 3, 2, 32, 2350);י;ו;ה;נ;ס;ה;ך;ו;ת;מ;ש;א;ת;ב;ל;ב;ו;י;ל;א;ה;ו;ה;י;ך;א;ל;מ;א;ר;י;ו;ה;ב;ר;ח;ם;י;ה;ל;א;ה;ר;ה;ל;א;א;ב;י;ו;(2, 3, 1, 50, 2301)
(2, 3, 3, 21, 2400);ת;א;ה;א;ר;א;ו;א;נ;ה;ר;ס;א;ה;ש;מ;ר;מ;א;י;ו;ל;כ;א;ו;נ;נ;י;א;ה;נ;ס;ה;ו;ש;א;ב;ר;ע;ב;ה;נ;ס;ה;ה;נ;ה;ו;א;ר;(2, 3, 2, 33, 2351)
(2, 3, 4, 24, 2450);ל;א;א;ר;ק;י;ו;ת;ו;א;ר;ל;ר;ס;י;כ;ה;ו;ה;י;א;ר;י;ו;ה;נ;ס;ה;ר;ע;ב;י;א;ל;ע;ו;ד;מ;ה;ז;ה;ל;ד;ג;ה;ה;א;ר;מ;ה;(2, 3, 3, 22, 2401)
(2, 3, 5, 15, 2500);ש;ם;ל;ה;ב;ר;ק;ת;ל;א;ר;מ;א;י;ו;י;נ;נ;ה;ר;מ;א;י;ו;ה;ש;מ;ה;ש;מ;ר;מ;א;י;ו;ה;נ;ס;ה;ך;ו;ת;מ;ם;י;ה;ל;א;ו;י;(2, 3, 4, 25, 2451)
(2, 3, 6, 5, 2550);ר;מ;א;י;ו;א;ו;ה;ש;ד;ק;ת;מ;ד;א;ו;י;ל;ע;ד;מ;ו;ע;ה;ת;א;ר;ש;א;ם;ו;ק;מ;ה;י;כ;ך;י;ל;ג;ר;ל;ע;מ;ך;י;ל;ע;נ;ל;(2, 3, 5, 16, 2501)
(2, 3, 6, 55, 2600);ו;י;נ;פ;ה;ש;מ;ר;ת;ס;י;ו;ב;ק;ע;י;י;ה;ל;א;ו;ק;ח;צ;י;י;ה;ל;א;ם;ה;ר;ב;א;י;ה;ל;א;ך;י;ב;א;י;ה;ל;א;י;כ;נ;א;(2, 3, 6, 6, 2551)
(2, 3, 7, 32, 2650);ר;צ;מ;ב;ר;ש;א;י;מ;ע;י;נ;ע;ת;א;י;ת;י;א;ר;ה;א;ר;ה;ו;ה;י;ר;מ;א;י;ו;ם;י;ה;ל;א;ה;ל;א;ט;י;ב;ה;מ;א;ר;י;י;כ;(2, 3, 6, 56, 2601)
(2, 3, 8, 11, 2700);מ;ו;ל;י;צ;ה;ל;ד;ר;א;ו;ו;י;ב;א;כ;מ;ת;א;י;ת;ע;ד;י;י;כ;ו;י;ש;ג;נ;י;נ;פ;מ;י;ת;ע;מ;ש;ם;ת;ק;ע;צ;ת;א;ו;ם;י;(2, 3, 7, 33, 2651)
(2, 3, 8, 61, 2750);ו;ב;ל;ח;ת;ב;ז;ץ;ר;א;ל;א;ה;ב;ח;ר;ו;ה;ב;ו;ט;ץ;ר;א;ל;א;א;ו;ה;ה;ץ;ר;א;ה;ן;מ;ו;ת;ל;ע;ה;ל;ו;ם;י;ר;צ;מ;ד;י;(2, 3, 8, 12, 2701)
(2, 3, 9, 6, 2800);נ;ה;ה;ת;ע;ו;י;ס;ו;ב;י;ה;ו;י;ו;ח;ה;ו;י;ז;ר;פ;ה;ו;י;ר;מ;א;ה;ו;י;ת;ח;ה;ו;י;נ;ע;נ;כ;ה;ם;ו;ק;מ;ל;א;ש;ב;ד;(2, 3, 8, 62, 2751)
